INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHIMIPREDICTOR
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,120,ADMIMETH_1,-0.4349249783628169,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,120,ADMIMETH_1,-0.446961186699201,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,120,ADMIMETH_1,-0.43261546110914684,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,121,ADMIMETH_1,-1.5453462229912467,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,121,ADMIMETH_1,-1.5963042122621092,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,121,ADMIMETH_1,-1.576384702219061,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,122,ADMIMETH_1,-1.7351135479606916,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,122,ADMIMETH_1,-1.8971861853278782,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,122,ADMIMETH_1,-2.117872919200545,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,123,ADMIMETH_1,-1.847851093059134,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,123,ADMIMETH_1,-1.8815640577465804,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,123,ADMIMETH_1,-1.8959373170145037,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,124,ADMIMETH_1,-1.1588896176141827,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,124,ADMIMETH_1,-1.1903862383886508,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,124,ADMIMETH_1,-1.2091414686697015,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,125,ADMIMETH_1,-2.2468760597360564,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,125,ADMIMETH_1,-2.1830569107903455,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,125,ADMIMETH_1,-2.341037508824966,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,126,ADMIMETH_1,-0.8107947950037563,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,126,ADMIMETH_1,-0.2312881227174517,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,126,ADMIMETH_1,-0.3692801874541354,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,127,ADMIMETH_1,-0.5483264021179294,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,127,ADMIMETH_1,0.14779392883289288,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,127,ADMIMETH_1,1.7625555673676883,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,128,ADMIMETH_1,-1.3495614430468366,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,128,ADMIMETH_1,-1.3517061630217238,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,128,ADMIMETH_1,-1.3643348952727385,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,129,ADMIMETH_1,-0.30594793177875523,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,129,ADMIMETH_1,-0.3643715978636337,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,129,ADMIMETH_1,-0.33771086252601856,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,13,ADMIMETH_1,-2.041572780792594,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,13,ADMIMETH_1,-2.043817227451605,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,13,ADMIMETH_1,-2.0723503099861995,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,130,ADMIMETH_1,-0.6542485254179704,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,130,ADMIMETH_1,-0.636128728171519,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,130,ADMIMETH_1,-0.6238575472651066,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,131,ADMIMETH_1,-1.579566804706511,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,131,ADMIMETH_1,-1.6365270878611993,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,131,ADMIMETH_1,-1.759353050401014,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,132,ADMIMETH_1,0.36591678069104794,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,132,ADMIMETH_1,0.2251116219406023,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,132,ADMIMETH_1,0.3750933936279922,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,133,ADMIMETH_1,-1.712510141390412,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,133,ADMIMETH_1,-1.708181395047862,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,133,ADMIMETH_1,-1.6855437570307008,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,134,ADMIMETH_1,-2.368172045890053,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,134,ADMIMETH_1,-2.660707747195563,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,134,ADMIMETH_1,-4.439984253572167,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,135,ADMIMETH_1,0.567062136749886,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,135,ADMIMETH_1,0.5480627104857271,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,135,ADMIMETH_1,0.5466483400373221,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,136,ADMIMETH_1,-2.05740236736605,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,136,ADMIMETH_1,-2.0757098956368436,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,136,ADMIMETH_1,-2.1374812627081834,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,137,ADMIMETH_1,-0.2301737702063108,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,137,ADMIMETH_1,-0.1715364108068254,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,137,ADMIMETH_1,-0.1999222377903283,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,138,ADMIMETH_1,-0.12118739598309966,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,138,ADMIMETH_1,-0.07779457766266723,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,138,ADMIMETH_1,-0.013106764094633377,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,139,ADMIMETH_1,-0.4875373620130208,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,139,ADMIMETH_1,-0.14685128984474072,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
