INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHMIPREDICTOR
FUTURE,110,ADMIMETH_1,-1.7290271908698918,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,110,ADMIMETH_1,-1.7244927778415342,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,110,ADMIMETH_1,-1.7135190926038655,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,110,ADMIMETH_1,-1.7050247603469764,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,110,ADMIMETH_1,-1.7041435058921124,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,110,ADMIMETH_1,-1.6950768979273934,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,111,ADMIMETH_1,-2.323108802493943,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,111,ADMIMETH_1,-2.326076453282035,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,111,ADMIMETH_1,-2.3203007766845545,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,111,ADMIMETH_1,-2.3194204537305727,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,111,ADMIMETH_1,-2.3250039522153925,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,111,ADMIMETH_1,-2.325551785426538,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,112,ADMIMETH_1,-1.6735494236955568,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,112,ADMIMETH_1,-1.6765312508148358,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,112,ADMIMETH_1,-1.6720957229684519,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,112,ADMIMETH_1,-1.6616541625901615,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,112,ADMIMETH_1,-1.6511400090222064,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,112,ADMIMETH_1,-1.6459674743133164,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,113,ADMIMETH_1,-1.623474217544337,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,113,ADMIMETH_1,-1.6098041784198363,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,113,ADMIMETH_1,-1.591449522440548,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,113,ADMIMETH_1,-1.5753733572998925,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,113,ADMIMETH_1,-1.5552861224342276,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,113,ADMIMETH_1,-1.5386562934909533,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,116,ADMIMETH_1,-2.660839403157133,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,116,ADMIMETH_1,-2.6573482858472297,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,116,ADMIMETH_1,-2.6383094535127163,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,116,ADMIMETH_1,-2.628705330216977,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,116,ADMIMETH_1,-2.614267266925455,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,116,ADMIMETH_1,-2.6020427060869635,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,117,ADMIMETH_1,-1.546013072400699,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,117,ADMIMETH_1,-1.5466680678041524,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,117,ADMIMETH_1,-1.5394525487484703,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,117,ADMIMETH_1,-1.5374055933389745,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,117,ADMIMETH_1,-1.5345188667382188,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,117,ADMIMETH_1,-1.533531519289416,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,118,ADMIMETH_1,-0.29000000000000004,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,118,ADMIMETH_1,-0.25900000000000006,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,118,ADMIMETH_1,-0.2280000000000001,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,118,ADMIMETH_1,-0.19700000000000012,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,118,ADMIMETH_1,-0.16346608708264093,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,118,ADMIMETH_1,-0.15562093762089965,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,119,ADMIMETH_1,-1.1165935577271062,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,119,ADMIMETH_1,-1.088338409470867,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,119,ADMIMETH_1,-1.063785068451391,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,119,ADMIMETH_1,-1.0312372197609898,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,119,ADMIMETH_1,-0.9931155646101344,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,119,ADMIMETH_1,-0.9700252781442482,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,12,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,120,ADMIMETH_1,-0.4086,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,120,ADMIMETH_1,-0.38930000000000003,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,120,ADMIMETH_1,-0.37905000000000005,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,120,ADMIMETH_1,-0.3076261178354317,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,120,ADMIMETH_1,-0.29557974767811185,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,120,ADMIMETH_1,-0.2838087895667984,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,121,ADMIMETH_1,-1.2789266298405761,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,121,ADMIMETH_1,-1.2794392461111992,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,121,ADMIMETH_1,-1.2783221120617974,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,121,ADMIMETH_1,-1.2622569729134019,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,121,ADMIMETH_1,-1.223832679404461,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,121,ADMIMETH_1,-1.2153491582457168,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,122,ADMIMETH_1,-1.5717995297402354,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,122,ADMIMETH_1,-1.602371097825644,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,122,ADMIMETH_1,-1.6200722660611924,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,122,ADMIMETH_1,-1.6392282708313626,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,122,ADMIMETH_1,-1.6468236456347258,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,122,ADMIMETH_1,-1.6635272058675612,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,123,ADMIMETH_1,-1.760302413531266,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,123,ADMIMETH_1,-1.7435611402084243,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,123,ADMIMETH_1,-1.730558575433847,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,123,ADMIMETH_1,-1.7161122215117925,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,123,ADMIMETH_1,-1.6920641383504893,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,123,ADMIMETH_1,-1.6769061159051888,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,124,ADMIMETH_1,-1.1636140471583067,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,124,ADMIMETH_1,-1.1648276391237182,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,124,ADMIMETH_1,-1.1589175794442763,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,124,ADMIMETH_1,-1.1517124438588482,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,124,ADMIMETH_1,-1.143910973815547,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,124,ADMIMETH_1,-1.1431403891210468,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,125,ADMIMETH_1,-2.116075189970048,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,125,ADMIMETH_1,-2.166257755986726,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,125,ADMIMETH_1,-2.22151484976076,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,125,ADMIMETH_1,-2.2712616929962315,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,125,ADMIMETH_1,-2.2915438687623406,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,125,ADMIMETH_1,-2.336454909263235,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,126,ADMIMETH_1,-0.031024999999999997,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,126,ADMIMETH_1,0.07451500000000001,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,126,ADMIMETH_1,0.17519416666666665,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,126,ADMIMETH_1,0.27656773809523805,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,126,ADMIMETH_1,0.37785450892857136,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,126,ADMIMETH_1,0.47915092427248673,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,127,ADMIMETH_1,-0.9129424965793269,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,127,ADMIMETH_1,-0.8952524017814227,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,127,ADMIMETH_1,-0.8821634516834777,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,127,ADMIMETH_1,-0.8654805875985785,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
